name,emissions,gdp,population
Afghanistan,0.31,1486,40099460
Albania,1.72,12456,2854710
Algeria,4.08,13337,44177964
Angola,0.51,6137,34503776
Argentina,4.19,17471,45276788
Armenia,2.53,12242,2790971
Australia,14.91,50705,25921094
Austria,7.4,42185,8922086
Azerbaijan,3.72,16972,10312992
Bahrain,26.05,37323,1463266
Bangladesh,0.58,4684,169356240
Barbados,4.36,10387,281204
Belarus,6.36,19542,9578172
Belgium,8.24,40971,11611416
Benin,0.64,2395,12996901
Bolivia,1.8,6356,12079474
Bosnia and Herzegovina,6.1,11554,3270948
Botswana,2.37,15612,2588424
Brazil,2.32,14293,214326224
Bulgaria,6.14,19754,6885864
Burkina Faso,0.27,1707,22100690
Burundi,0.06,723,12551215
Cambodia,1.21,3796,16589031
Cameroon,0.38,2792,27198632
Canada,14.08,44380,38155012
Cape Verde,0.95,6173,587936
Central African Republic,0.05,607,5457165
Chad,0.14,1403,17179744
Chile,4.57,22325,19493184
China,7.95,18667,1425893504
Colombia,1.86,13553,51516560
Comoros,0.51,1886,821632
Congo,1.24,4168,5835814
Costa Rica,1.49,14932,5153959
Cote d'Ivoire,0.43,3853,27478250
Croatia,4.29,25060,4060139
Cuba,1.86,7486,11256373
Cyprus,5.65,30252,1244193
Czechia,9.2,31453,10510748
Democratic Republic of Congo,0.04,817,95894120
Denmark,5.06,49259,5854246
Djibouti,0.41,3542,1105562
Dominica,2.1,8419,72435
Dominican Republic,2.14,17047,11117873
Ecuador,2.23,9938,17797736
Egypt,2.26,12868,109262184
El Salvador,1.19,9017,6314165
Equatorial Guinea,3.44,22538,1634473
Estonia,7.84,30499,1328704
Eswatini,0.95,8726,1192273
Ethiopia,0.16,2191,120283024
Finland,6.85,39978,5535982
France,4.75,38242,64531448
Gabon,2.51,15598,2341185
Gambia,0.29,1964,2639922
Georgia,2.94,12995,3757984
Germany,8.14,46159,83408560
Ghana,0.64,4191,32833036
Greece,5.51,23732,10445368
Guatemala,1.12,7765,17608484
Guinea,0.36,1770,13531909
Guinea-Bissau,0.16,1594,2060730
Haiti,0.21,1592,11447575
Honduras,1.05,5062,10278346
Hong Kong,4.37,50006,7494580
Hungary,5,28086,9709784
Iceland,9.48,40413,370338
India,1.9,7315,1407563904
Indonesia,2.25,12234,273753184
Iran,7.83,18052,87923432
Iraq,3.87,12356,43533592
Ireland,7.53,57278,4986525
Israel,6.16,34969,8900057
Italy,5.69,34827,59240336
Jamaica,2.34,7193,2827701
Japan,8.52,37678,124612528
Jordan,2.03,9020,11148288
Kazakhstan,13.29,25936,19196468
Kenya,0.46,3293,53005616
Kuwait,24.3,66418,4250111
Kyrgyzstan,1.45,5036,6527742
Laos,3.15,6961,7425055
Latvia,3.86,26739,1873926
Lebanon,4.2,10574,5592626
Lesotho,1.09,2312,2281464
Liberia,0.17,790,5193422
Libya,9.49,14797,6735280
Lithuania,4.96,30557,2786652
Luxembourg,13.19,55347,639330
Madagascar,0.15,1343,28915652
Malawi,0.1,1211,19889742
Malaysia,8.31,24765,33573872
Mali,0.32,1643,21904990
Malta,3.05,33031,526751
Mauritania,0.97,3527,4614981
Mauritius,3.15,19069,1298922
Mexico,3.7,15853,126705136
Moldova,1.83,7557,3061509
Mongolia,11.43,12992,3347782
Montenegro,3.67,19657,627856
Morocco,1.96,8391,37076588
Mozambique,0.22,1074,32077074
Myanmar,0.66,5113,53798088
Namibia,1.48,7796,2530150
Nepal,0.52,2902,30034988
Netherlands,7.99,48002,17501696
New Zealand,6.69,37837,5129730
Nicaragua,0.79,4979,6850546
Niger,0.12,941,25252722
Nigeria,0.61,5029,213401328
North Korea,1.98,1577,25971910
North Macedonia,3.66,13692,2103329
Norway,7.59,86335,5403021
Oman,15.68,46574,4520474
Pakistan,0.97,5464,231402112
Palestine,0.67,4699,5133393
Panama,2.69,21539,4351264
Paraguay,1.38,8846,6703802
Peru,1.67,12550,33715464
Philippines,1.25,7894,113880336
Poland,8.64,30688,38307724
Portugal,3.88,27138,10290109
Qatar,39.88,143469,2688239
Romania,3.99,26103,19328558
Russia,11.8,26120,145102752
Rwanda,0.12,2107,13461891
Saint Lucia,2.59,9068,179663
Saoome and Principe,0.65,3821,223118
Saudi Arabia,17.56,49841,35950396
Senegal,0.68,2607,16876726
Serbia,6.02,16564,7296771
Seychelles,6.22,30126,106486
Sierra Leone,0.13,1665,8420642
Singapore,9.4,77945,5941063
Slovakia,6.46,27366,5447621
Slovenia,6.16,31020,2119408
South Africa,7.17,11273,59392256
South Korea,11.89,40278,51830136
Spain,4.85,32553,47486932
Sri Lanka,0.92,11752,21773438
Sudan,0.49,2533,45657204
Sweden,3.68,46227,10467095
Switzerland,4.12,62595,8691409
Syria,1.28,2682,21324366
Taiwan,12.2,51944,23859904
Tajikistan,1.02,5206,9750078
Tanzania,0.24,3008,63588332
Thailand,3.73,16020,71601104
Togo,0.3,1535,8644829
Trinidad andobago,23.29,25238,1525671
Tunisia,2.87,10726,12262949
Turkey,5.34,26176,84775408
Turkmenistan,11.03,17169,6341850
Uganda,0.13,2084,45853780
Ukraine,4.83,10134,43531424
United Arab Emirates,25.33,72460,9365149
United Kingdom,5.16,37134,67281040
United States,14.93,57523,336997632
Uruguay,2.36,19222,3426265
Uzbekistan,3.41,12076,34081452
Venezuela,2.54,4897,28199862
Vietnam,3.62,7508,97468024
Yemen,0.35,1972,32981644
Zambia,0.44,3322,19473132
Zimbabwe,0.52,1687,15993525
